system:index,clim_et_annual,clim_prec,clim_prec_seas,clim_tmax,clim_tmean,clim_tmin,crop_label,.geo
0,433.4,1276.0,20.0,332.0,162.0,-16.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.18765519364564,34.590161560703876]}"
1,550.6,1346.0,21.0,333.0,167.0,-3.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.63384382098596,34.17163646983259]}"
2,507.9,1349.0,21.0,334.0,167.0,-3.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.65055248527058,34.10776625313169]}"
3,461.8,1368.0,21.0,334.0,168.0,-1.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.48885573412907,34.08216426753429]}"
4,487.6,1383.0,22.0,335.0,174.0,4.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.57428551764883,33.3712375516821]}"
5,433.3,1356.0,21.0,335.0,172.0,0.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.79176764793418,33.516495133124224]}"
6,396.8,1349.0,22.0,334.0,172.0,1.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.80982378514497,33.477687912850264]}"
7,512.7,1389.0,22.0,336.0,175.0,6.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.45274345970746,33.39818701020568]}"
8,429.2,1299.0,20.0,332.0,162.0,-17.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.03808569883975,34.529794773611044]}"
9,421.1,1258.0,19.0,335.0,169.0,-1.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.7878196349659,34.37267943041854]}"
10,479.7,1397.0,22.0,336.0,172.0,1.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.3034434594868,33.69570903230607]}"
11,472.3,1380.0,22.0,335.0,174.0,5.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.59018569817775,33.398995493961394]}"
12,461.4,1392.0,22.0,335.0,175.0,5.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.57186006638172,33.238107226575586]}"
13,446.9,1397.0,22.0,334.0,174.0,5.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.25601241248529,33.235681775308464]}"
14,319.4,1386.0,22.0,335.0,174.0,6.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.27595501179275,33.44292311135484]}"
15,500.3,1275.0,20.0,332.0,165.0,-12.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.35635880400329,34.371062462907126]}"
16,478.1,1380.0,22.0,335.0,170.0,-2.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.72843642040375,33.785720223774845]}"
17,402.0,1322.0,20.0,333.0,164.0,-13.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.88447378525531,34.36944549539571]}"
18,461.3,1266.0,20.0,335.0,167.0,-9.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.7142476131965,34.6715489254451]}"
19,439.8,1285.0,17.0,336.0,170.0,0.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.66924201746212,34.05467581984023]}"
20,387.8,1393.0,21.0,335.0,174.0,6.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.29320266524783,33.34590506066993]}"
