system:index,crop_label,dewpoint_mean,lat,lon,precip_total,temp_mean,.geo
0,0,10.956039968690902,35.36024978150411,-90.76995347350761,1328.128273847959,16.925047986801246,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.76995347350761,35.36024978150411]}"
1,0,11.33273022447014,35.20205645997066,-90.31154318402142,1393.9112380775427,17.02702697510057,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.31154318402142,35.20205645997066]}"
2,0,11.551611770560271,34.84578461828886,-91.14104751737739,1389.9544135364508,17.431944346319142,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.14104751737739,34.84578461828886]}"
3,0,10.845374702209824,35.73835068459002,-90.47728235394148,1278.426285150907,16.647135690140203,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.47728235394148,35.73835068459002]}"
4,0,11.45047155580562,34.89752757865414,-91.05642621761334,1389.744024041555,17.358398710973802,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.05642621761334,34.89752757865414]}"
5,0,11.183802213625029,35.05194797599429,-91.29870184974037,1370.3643337520575,17.275820987300676,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.29870184974037,35.05194797599429]}"
6,0,11.571307341693227,34.87758497934669,-90.65514878019714,1456.3395932945227,17.54916372952397,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.65514878019714,34.87758497934669]}"
7,0,10.966417617449508,35.45349490799572,-90.48186376189048,1310.7484236988043,16.836813781250612,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.48186376189048,35.45349490799572]}"
8,0,11.280350132075853,34.956007903650324,-91.43156268026165,1387.0915726455664,17.299018136986604,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.43156268026165,34.956007903650324]}"
9,0,10.899626093476854,35.616269637478176,-90.50126737202747,1289.3978015216803,16.742247749572698,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.50126737202747,35.616269637478176]}"
10,0,10.845064342620674,35.605489854068736,-91.34721087508282,1265.109787944219,16.838561114655477,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.34721087508282,35.605489854068736]}"
11,0,10.886832901767548,35.61896458333053,-90.34388253424973,1286.5308777126288,16.705917617937303,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.34388253424973,35.61896458333053]}"
12,0,11.20745620727564,35.065692199841315,-91.21866195792532,1376.3801262411093,17.269931512771564,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.21866195792532,35.065692199841315]}"
13,0,10.899626093476854,35.5653351608686,-90.48671466442472,1289.3978015216803,16.742247749572698,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.48671466442472,35.5653351608686]}"
14,0,10.74953512601121,35.7367337170786,-90.63116376211114,1290.0960401329016,16.606782477740126,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.63116376211114,35.7367337170786]}"
15,0,11.07576920670482,35.36348371652694,-90.54330852732426,1337.59872174587,16.930772248359744,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.54330852732426,35.36348371652694]}"
16,0,11.185836495874184,35.21014129752774,-91.32538181367872,1342.3848555120444,17.362576302654816,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.32538181367872,35.21014129752774]}"
17,0,11.023744065794347,35.28856422183137,-90.86858849170395,1345.4114750656104,17.054503163028585,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.86858849170395,35.28856422183137]}"
18,0,11.916236351396492,34.84120321033985,-90.25683578321855,1487.195353272817,17.30480661087404,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.25683578321855,34.84120321033985]}"
19,0,11.571307341693227,34.87273407681244,-90.67724733618648,1456.3395932945227,17.54916372952397,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.67724733618648,34.87273407681244]}"
20,0,10.74953512601121,35.70116043182747,-90.60394480900233,1290.0960401329016,16.606782477740126,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.60394480900233,35.70116043182747]}"
21,0,10.899626093476854,35.560214763749116,-90.51231665002214,1289.3978015216803,16.742247749572698,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.51231665002214,35.560214763749116]}"
22,0,11.023744065794347,35.3376122363443,-90.8817937263805,1345.4114750656104,17.054503163028585,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.8817937263805,35.3376122363443]}"
23,0,11.544750638639357,34.94064671229188,-90.8817937263805,1408.9362279209113,17.491232838042777,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.8817937263805,34.94064671229188]}"
24,0,11.015638151125302,35.33572577424765,-90.77776881647945,1345.2126041683173,17.00545341631033,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.77776881647945,35.33572577424765]}"
25,0,10.74953512601121,35.709245269384546,-90.55840022409747,1290.0960401329016,16.606782477740126,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.55840022409747,35.709245269384546]}"
26,0,11.728811488739552,34.979453932565846,-90.35061989888062,1440.3450742992377,17.346716080408612,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.35061989888062,34.979453932565846]}"
