system:index,crop_label,soil_oc,soil_ph,soil_texture,.geo
0,0,3.0,79.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.89602535623301,35.071890575301744]}"
1,0,2.0,77.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.46017192894192,37.03650610167114]}"
2,0,2.0,76.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.20549954589404,36.84462595698321]}"
3,0,2.0,77.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.25553113293765,35.6833737892019]}"
4,0,2.0,77.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.62860604471433,35.70628082894695]}"
5,0,2.0,77.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.94247283070385,36.66325610111947]}"
6,0,2.0,76.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.1506977392809,35.080514402029294]}"
7,0,2.0,80.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.98990387770536,36.80824418797636]}"
8,0,2.0,80.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.18411506785014,35.6871467133952]}"
9,0,2.0,80.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.88587896780432,36.58645014432726]}"
10,0,2.0,80.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.94453438157547,35.23655176688085]}"
11,0,2.0,78.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.33422355182651,35.88441674978785]}"
12,0,2.0,80.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.29164340735925,35.735655738737655]}"
13,0,2.0,73.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.97157824590931,36.67807830330745]}"
14,0,2.0,77.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.96861380547172,36.76862848394669]}"
15,0,2.0,81.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.92620874977943,35.0918331746092]}"
16,0,2.0,77.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.12653763241994,36.88019924223434]}"
17,0,2.0,77.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.81419340813157,36.94164400766812]}"
18,0,2.0,77.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.06024196445192,36.879121263893396]}"
19,0,2.0,77.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.16211091767107,36.88154671516052]}"
20,0,3.0,77.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.1649809522984,35.6833737892019]}"
21,0,2.0,79.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.05970297528144,36.79611693164075]}"
22,0,2.0,78.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.13318059124056,36.01215718318964]}"
23,0,2.0,77.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.16103293933013,36.788032094083675]}"
24,0,2.0,77.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.28813997775119,35.78605122617676]}"
25,0,2.0,79.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.98397499683017,36.77536584857759]}"
26,0,2.0,79.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.65680857035383,36.530125776012966]}"
27,0,2.0,75.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.9023181375037,36.726317834064666]}"
28,0,2.0,74.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.49143330082929,36.62390989167504]}"
29,0,2.0,79.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.92351380392707,35.026884979567356]}"
30,0,2.0,77.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.65259106280033,36.6303777617207]}"
31,0,2.0,79.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.18195911116825,35.77042054023308]}"
32,0,2.0,79.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.88928799160212,35.21984310259623]}"
33,0,2.0,73.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.34240279519385,37.13675808737887]}"
34,0,2.0,80.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.93833600611504,35.27832342759241]}"
35,0,2.0,80.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.89198293745447,35.072429564472216]}"
36,0,2.0,76.0,4.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.51640189144595,35.42196404152312]}"
