system:index,B02,B03,B04,B05,B06,B07,B08,B11,B12,B8A,crop_label,.geo
0,809.5,1123.0,1617.0,1881.0,1972.0,2141.5,2373.5,2826.5,2019.0,2408.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.76995347350761,35.36024978150411]}"
1,517.0,759.0,1072.5,1316.5,1435.0,1511.5,1660.5,2109.0,1505.0,1722.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.31154318402142,35.20205645997066]}"
2,651.0,993.0,1323.0,1862.0,2523.0,2799.0,3022.0,2894.0,1966.0,3079.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.14104751737739,34.84578461828886]}"
3,382.0,699.0,664.0,1249.0,2332.0,2536.0,2770.0,1897.0,1157.0,2674.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.47728235394148,35.73835068459002]}"
4,935.0,1277.0,1837.0,2165.0,2296.0,2426.0,2683.0,3355.0,2637.0,2778.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.05642621761334,34.89752757865414]}"
5,710.0,1055.5,1424.5,1848.0,2281.0,2454.0,2726.5,3234.5,2121.0,2804.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.29870184974037,35.05194797599429]}"
6,563.0,900.0,1160.0,1608.0,2107.0,2286.0,2511.0,2671.0,1739.0,2580.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.65514878019714,34.87758497934669]}"
7,396.0,583.0,866.0,1012.0,1125.0,1220.0,1384.0,1800.0,1205.0,1407.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.48186376189048,35.45349490799572]}"
8,493.5,768.5,962.5,1295.5,1618.0,1778.5,1964.0,2365.5,1722.5,1976.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.43156268026165,34.956007903650324]}"
9,378.0,630.0,918.0,1220.0,1470.0,1619.0,1768.0,1886.0,1267.0,1754.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.50126737202747,35.616269637478176]}"
10,811.0,1095.5,1581.0,1823.0,1960.0,2128.5,2369.0,3752.0,2660.5,2421.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.34721087508282,35.605489854068736]}"
11,519.0,742.0,1029.0,1190.0,1272.0,1403.0,1564.0,1965.0,1421.0,1565.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.34388253424973,35.61896458333053]}"
12,537.0,821.5,1212.5,1539.0,1719.5,1925.0,2072.0,3212.0,2317.0,2160.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.21866195792532,35.065692199841315]}"
13,703.0,1051.0,1545.0,1850.0,1983.0,2177.0,2514.0,2393.0,1566.0,2473.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.48671466442472,35.5653351608686]}"
14,857.5,1106.0,1447.0,1647.0,1710.0,1842.0,2020.0,2533.0,2007.5,2028.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.63116376211114,35.7367337170786]}"
15,335.0,471.0,687.0,813.0,915.0,974.0,1138.0,1235.0,812.0,1178.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.54330852732426,35.36348371652694]}"
16,464.0,684.5,1010.0,1241.0,1408.5,1552.5,1767.0,3073.5,2297.0,1811.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.32538181367872,35.21014129752774]}"
17,619.5,919.5,1320.5,1533.0,1648.0,1750.5,1914.0,2733.0,2121.0,2025.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.86858849170395,35.28856422183137]}"
18,500.5,736.5,1089.0,1272.5,1368.0,1467.5,1628.5,1926.0,1324.5,1667.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.25683578321855,34.84120321033985]}"
19,557.0,830.0,1154.0,1493.0,1880.0,2010.0,2272.0,2398.0,1549.0,2314.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.67724733618648,34.87273407681244]}"
20,624.0,990.5,1440.5,1699.0,1775.5,1952.0,2093.0,2699.0,2031.5,2156.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.60394480900233,35.70116043182747]}"
21,484.0,662.0,921.0,1082.0,1186.0,1269.0,1410.0,1770.0,1177.0,1452.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.51231665002214,35.560214763749116]}"
22,690.0,968.5,1351.0,1567.0,1643.5,1780.0,1944.0,2427.5,1834.0,1998.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.8817937263805,35.3376122363443]}"
23,795.0,1099.0,1652.0,1936.0,2087.5,2238.5,2519.0,3450.0,2373.5,2600.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.8817937263805,34.94064671229188]}"
24,733.5,1056.5,1493.5,1823.5,2124.5,2303.0,2681.0,2890.0,2066.0,2680.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.77776881647945,35.33572577424765]}"
25,680.0,971.0,1526.0,1837.0,2007.0,2170.0,2481.0,3154.0,2108.0,2566.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.55840022409747,35.709245269384546]}"
