system:index,B02,B03,B04,B05,B06,B07,B08,B11,B12,B8A,crop_label,.geo
0,260.0,444.0,465.0,875.0,1319.5,1475.5,1661.5,1585.5,1017.5,1724.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.09456218258713,37.95494364815494]}"
1,289.0,524.0,440.0,967.0,1912.0,2221.0,2452.0,1984.0,1104.0,2576.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.05656344606888,37.99914076013361]}"
2,304.0,599.5,446.5,1045.0,2198.5,2483.5,2642.5,1861.0,1153.0,2673.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.21421777843184,38.19209888316249]}"
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.93026489140352,38.847509714456095]}"
4,407.0,482.5,574.5,726.5,819.0,915.5,1035.0,2140.0,1871.5,1053.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.41741669569969,38.09993173501183]}"
5,389.0,730.0,594.0,1305.0,2532.5,2843.5,3016.0,2082.5,1346.5,3056.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.05252102729034,38.0832230707272]}"
6,351.0,511.5,521.0,887.5,1336.0,1454.0,1579.0,1803.5,1288.0,1608.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.25545044997294,38.435721988215704]}"
7,468.0,686.0,713.0,1230.0,1801.0,2011.0,2295.0,2591.0,1884.0,2365.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.7426022542691,37.69434238423186]}"
8,353.0,553.0,629.5,959.0,1486.0,1662.5,1819.5,2319.0,1650.0,1920.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.04524467348897,38.10100971335277]}"
9,294.0,557.5,466.5,1012.5,1768.5,1970.5,2133.0,1768.0,1100.5,2228.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.32498005296378,38.07648570609631]}"
