system:index,crop_label,soil_oc,soil_ph,soil_texture,.geo
0,0,2,58,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.25385645580342,33.6234821407796]}"
1,0,2,57,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.35922883863064,33.68277094953149]}"
2,0,2,59,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.85321241336797,34.742693153264106]}"
3,0,2,58,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.55919382087565,33.539130335600774]}"
4,0,2,58,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.61794364045706,33.423517158534594]}"
5,0,2,55,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.04401457971495,34.50580741284179]}"
6,0,2,57,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.7219685503581,33.53805235725983]}"
7,0,2,62,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.90926728709702,34.37537203358764]}"
8,0,2,56,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.66277414741648,33.245650732278925]}"
9,0,2,58,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.46846855146143,33.86009838661668]}"
10,0,2,57,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.3656967086763,33.67064369319587]}"
11,0,2,58,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.36650519243202,33.50274856659394]}"
12,0,2,59,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.94618804527434,34.42738448853816]}"
13,0,2,58,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.42184598821562,34.41337077010589]}"
14,0,2,62,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.36300176282394,33.741790263698135]}"
15,0,2,57,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.72520248538093,33.671721671536815]}"
16,0,2,62,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.87315501267543,34.41444874844684]}"
17,0,2,59,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.23805068108477,34.694723117092124]}"
18,0,2,59,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.38276927335643,33.533470949310825]}"
19,0,2,60,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.5866822685697,33.38363195991968]}"
20,0,2,59,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.46514021062833,33.7797890002164]}"
21,0,2,61,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.65657577195606,34.114231780494094]}"
22,0,3,59,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.39893894847057,34.4217251022482]}"
23,0,2,61,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.95750681785424,34.69068069831359]}"
24,0,2,65,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.97232902004221,34.08512636528862]}"
25,0,2,59,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.29455013817403,33.77466860309691]}"
26,0,2,60,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.57186006638173,34.16678322461508]}"
27,0,2,58,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.37701548125621,33.690586292503326]}"
28,0,2,58,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.07635392994325,34.51362275581363]}"
29,0,2,59,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.53817324322725,34.324976546148534]}"
30,0,4,61,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.64462360439542,34.45460344164698]}"
31,0,2,61,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.40962432606975,34.509041347864624]}"
32,0,3,61,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.3018264919754,33.61216336819969]}"
33,0,3,61,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.44205808210832,34.464035752130236]}"
34,0,2,62,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.48167378613799,33.21196390912444]}"
35,0,2,58,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.4757449052628,33.899444596061116]}"
36,0,2,58,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.5971925573939,34.239816257214]}"
37,0,3,58,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.27972793598606,34.083239903191966]}"
38,0,2,58,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.90630284665943,34.49368015650618]}"
39,0,2,55,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.4946095262293,33.60084459561978]}"
40,0,3,63,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.04482306347066,34.397470589576976]}"
41,0,2,61,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.3085638566063,33.70136607591276]}"
42,0,2,57,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.71253623987485,34.64405813506779]}"
43,0,2,60,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.87962288272108,33.320570226974496]}"
44,0,2,58,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.98607324388924,33.8940547043564]}"
45,0,2,54,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.27982234179633,34.467808676323536]}"
46,0,2,61,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.84647504873708,34.59123719636156]}"
47,0,2,59,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.80416439885504,34.692297665825]}"
48,0,2,58,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.33659129347083,33.68869983040668]}"
