system:index,crop_label,sol_bulk_density,sol_clay_pct,sol_organic_carbon,sol_ph_h2o,sol_sand_pct,sol_texture_class,.geo
0,0,156.0,19.0,2.0,58.0,35.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.25385645580342,33.6234821407796]}"
1,0,155.0,18.0,2.0,57.0,26.0,8.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.35922883863064,33.68277094953149]}"
2,0,154.0,15.0,2.0,59.0,21.0,8.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.85321241336797,34.742693153264106]}"
3,0,150.0,19.0,2.0,58.0,13.0,8.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.55919382087565,33.539130335600774]}"
4,0,154.0,29.0,2.0,58.0,18.0,5.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.61794364045706,33.423517158534594]}"
5,0,153.0,19.0,2.0,55.0,8.0,8.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.04401457971495,34.50580741284179]}"
6,0,150.0,19.0,2.0,57.0,20.0,8.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.7219685503581,33.53805235725983]}"
7,0,156.0,27.0,2.0,62.0,29.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.90926728709702,34.37537203358764]}"
8,0,155.0,15.0,2.0,56.0,13.0,8.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.66277414741648,33.245650732278925]}"
9,0,158.0,17.0,2.0,58.0,24.0,8.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.46846855146143,33.86009838661668]}"
10,0,152.0,17.0,2.0,57.0,27.0,8.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.3656967086763,33.67064369319587]}"
11,0,160.0,29.0,2.0,58.0,20.0,4.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.36650519243202,33.50274856659394]}"
12,0,153.0,16.0,2.0,59.0,11.0,8.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.94618804527434,34.42738448853816]}"
13,0,153.0,19.0,2.0,58.0,10.0,8.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.42184598821562,34.41337077010589]}"
14,0,166.0,27.0,2.0,62.0,21.0,8.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.36300176282394,33.741790263698135]}"
15,0,153.0,16.0,2.0,57.0,24.0,8.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.72520248538093,33.671721671536815]}"
16,0,161.0,22.0,2.0,62.0,19.0,8.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.87315501267543,34.41444874844684]}"
17,0,157.0,22.0,2.0,59.0,16.0,8.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.23805068108477,34.694723117092124]}"
18,0,154.0,16.0,2.0,59.0,33.0,8.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.38276927335643,33.533470949310825]}"
19,0,160.0,25.0,2.0,60.0,20.0,8.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.5866822685697,33.38363195991968]}"
20,0,161.0,22.0,2.0,59.0,21.0,8.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.46514021062833,33.7797890002164]}"
21,0,156.0,18.0,2.0,61.0,24.0,8.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.65657577195606,34.114231780494094]}"
22,0,132.0,22.0,3.0,59.0,6.0,8.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.39893894847057,34.4217251022482]}"
23,0,153.0,17.0,2.0,61.0,16.0,8.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.95750681785424,34.69068069831359]}"
24,0,151.0,25.0,2.0,65.0,26.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.97232902004221,34.08512636528862]}"
25,0,155.0,20.0,2.0,59.0,15.0,8.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.29455013817403,33.77466860309691]}"
26,0,154.0,16.0,2.0,60.0,39.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.57186006638173,34.16678322461508]}"
27,0,155.0,20.0,2.0,58.0,21.0,8.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.37701548125621,33.690586292503326]}"
28,0,152.0,15.0,2.0,58.0,12.0,8.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.07635392994325,34.51362275581363]}"
29,0,153.0,19.0,2.0,59.0,30.0,8.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.53817324322725,34.324976546148534]}"
30,0,149.0,20.0,4.0,61.0,30.0,8.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.64462360439542,34.45460344164698]}"
31,0,160.0,39.0,2.0,61.0,17.0,5.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.40962432606975,34.509041347864624]}"
32,0,157.0,22.0,3.0,61.0,26.0,8.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.3018264919754,33.61216336819969]}"
33,0,155.0,22.0,3.0,61.0,10.0,8.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.44205808210832,34.464035752130236]}"
34,0,155.0,16.0,2.0,62.0,21.0,8.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.48167378613799,33.21196390912444]}"
35,0,157.0,19.0,2.0,58.0,21.0,8.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.4757449052628,33.899444596061116]}"
36,0,146.0,20.0,2.0,58.0,29.0,8.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.5971925573939,34.239816257214]}"
37,0,161.0,25.0,3.0,58.0,18.0,8.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.27972793598606,34.083239903191966]}"
38,0,154.0,12.0,2.0,58.0,11.0,8.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.90630284665943,34.49368015650618]}"
39,0,154.0,15.0,2.0,55.0,13.0,8.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.4946095262293,33.60084459561978]}"
40,0,162.0,28.0,3.0,63.0,18.0,5.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.04482306347066,34.397470589576976]}"
41,0,156.0,21.0,2.0,61.0,18.0,8.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.3085638566063,33.70136607591276]}"
42,0,158.0,18.0,2.0,57.0,34.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.71253623987485,34.64405813506779]}"
43,0,152.0,19.0,2.0,60.0,30.0,8.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.87962288272108,33.320570226974496]}"
44,0,159.0,25.0,2.0,58.0,23.0,8.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.98607324388924,33.8940547043564]}"
45,0,155.0,15.0,2.0,54.0,11.0,8.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.27982234179633,34.467808676323536]}"
46,0,150.0,14.0,2.0,61.0,19.0,8.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.84647504873708,34.59123719636156]}"
47,0,153.0,12.0,2.0,59.0,15.0,8.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.80416439885504,34.692297665825]}"
48,0,154.0,17.0,2.0,58.0,27.0,8.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.33659129347083,33.68869983040668]}"
49,0,155.0,20.0,2.0,60.0,23.0,8.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.48167378613799,33.27556463124011]}"
50,0,156.0,14.0,3.0,61.0,34.0,8.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.71128317275894,34.63246986790264]}"
51,0,156.0,19.0,2.0,59.0,28.0,8.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.28942974105455,33.423786653119826]}"
52,0,165.0,28.0,2.0,59.0,13.0,5.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.40989382065499,33.320570226974496]}"
53,0,152.0,21.0,2.0,60.0,30.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.87611945311302,33.25265759149506]}"
54,0,169.0,41.0,3.0,62.0,18.0,2.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.49747956085663,33.70325253800941]}"
55,0,156.0,17.0,2.0,55.0,21.0,8.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.28889075188408,33.33647040750341]}"
56,0,149.0,26.0,2.0,59.0,26.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.47807595071966,33.37339116568072]}"
57,0,152.0,16.0,2.0,58.0,18.0,8.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.45247396512225,34.07785001148725]}"
58,0,156.0,17.0,2.0,60.0,19.0,8.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.01463966992425,34.4465186040899]}"
59,0,153.0,19.0,3.0,61.0,18.0,8.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.1413021249851,34.508771853279384]}"
60,0,153.0,17.0,2.0,62.0,22.0,8.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.42175158240536,34.58611679924208]}"
61,0,159.0,22.0,2.0,57.0,27.0,8.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.73220934459707,33.94606715930692]}"
62,0,154.0,15.0,2.0,59.0,16.0,8.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.58237035520592,33.210616436198265]}"
63,0,147.0,18.0,2.0,56.0,23.0,8.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.33497432595941,34.031496942826685]}"
64,0,155.0,24.0,2.0,62.0,21.0,8.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.27649400096324,33.42001372892653]}"
65,0,156.0,17.0,2.0,61.0,19.0,8.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.73769364211205,34.22822799004886]}"
66,0,152.0,16.0,2.0,60.0,26.0,8.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.4765533890185,33.21573683331775]}"
67,0,158.0,20.0,2.0,58.0,24.0,8.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.36084580614205,34.28293539085174]}"
68,0,154.0,20.0,2.0,57.0,23.0,8.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.09602703466547,33.30116661683751]}"
69,0,154.0,24.0,2.0,59.0,24.0,8.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.83192234113433,33.37446914402167]}"
70,0,152.0,18.0,2.0,57.0,21.0,8.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.32176909128286,33.481188999775064]}"
71,0,157.0,20.0,2.0,58.0,15.0,8.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.48868064535411,34.376989001099055]}"
