system:index,crop_label,soil_oc,soil_ph,soil_texture,.geo
0,0,2,76,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.58618610204451,35.495391529827856]}"
1,0,2,75,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.61781137432737,35.712065176357484]}"
2,0,2,76,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.29540144457502,35.88885362427221]}"
3,0,2,80,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.1916460292592,35.63472023039479]}"
4,0,2,76,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.35613213206335,36.48416716305822]}"
5,0,2,77,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.16236552527877,36.812681062460726]}"
6,0,2,78,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.27141642648903,35.84196156644117]}"
7,0,2,73,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.15984566820137,35.67595290193588]}"
8,0,2,76,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.85200216889731,37.35005326542102]}"
9,0,2,75,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.20602364808698,36.975725286528416]}"
10,0,2,75,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.84570938762664,36.65583521385346]}"
11,0,2,75,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.90230325052616,36.72482582767383]}"
12,0,2,77,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.81390902656881,36.94230795795917]}"
13,0,1,73,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.38254260141646,35.66517311852645]}"
14,0,2,74,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.43688610182383,36.483628173887745]}"
15,0,2,78,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.18868158882162,35.70559730631182]}"
16,0,2,79,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.37678880931625,35.765964093404655]}"
17,0,2,77,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.15688122776379,35.74629098868244]}"
18,0,2,78,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.22856678743653,35.86810254120905]}"
19,0,2,76,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.19865288847535,35.56869405701201]}"
20,0,2,79,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.03543357563268,36.80432673031841]}"
21,0,2,77,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.12723682338785,35.517490085817194]}"
22,0,2,79,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.99473989326206,36.518662469968405]}"
23,0,2,80,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.70826714915634,36.580915719157886]}"
24,0,1,79,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.86592148151932,36.498450376075716]}"
25,0,2,80,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.13181823133685,35.79965091655914]}"
26,0,2,79,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.55330776264573,36.56690200072562]}"
27,0,2,75,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.89906931550334,36.72428683850336]}"
28,0,2,76,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.95054278128339,36.55962564692425]}"
29,0,2,76,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.54046642836468,36.69706788539454]}"
30,0,2,82,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.85945361147367,36.59843286719822]}"
31,0,3,77,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.37813628224242,36.66823196477431]}"
32,0,2,74,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.61619440681595,35.586211205052344]}"
33,0,4,78,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.83483519840694,35.06150524759813]}"
34,0,2,78,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.19919187764582,35.867294057453336]}"
35,0,2,78,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.15994007401164,36.35454026755977]}"
36,0,2,74,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.2294696770025,34.620881600737505]}"
37,0,2,76,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.10496317862354,36.915358499435584]}"
38,0,2,79,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.19380198594109,35.757879255847584]}"
39,0,2,75,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.51827346656506,36.572291892430336]}"
40,0,2,76,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.28030974780181,36.392269509492785]}"
41,0,2,76,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.27518935068233,35.72661788396022]}"
42,0,2,77,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.66299205883672,36.681976188621334]}"
43,0,2,76,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.16254061405374,35.561148208625404]}"
44,0,2,76,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.0122570413024,36.49063503310387]}"
45,0,2,78,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.10001787027902,35.904753804801125]}"
46,0,2,77,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.14916029060221,36.7884265497895]}"
47,0,2,78,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.8958353804805,36.489826549348166]}"
48,0,2,75,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.18715902712046,36.97276084609082]}"
49,0,2,78,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.32810469519882,36.86253756072936]}"
50,0,2,76,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.17844079458266,35.86163467116339]}"
51,0,2,79,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.1307402529959,35.50724929157823]}"
52,0,3,78,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.15122184147384,35.46493864169621]}"
53,0,2,76,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.04513538070117,36.12870380513212]}"
54,0,2,74,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.56903285439967,37.40826409583197]}"
55,0,1,79,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.84894332264946,36.48874857100722]}"
56,0,2,75,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.14583194976912,36.17856030340075]}"
57,0,2,79,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.13478267177445,35.8594787144815]}"
58,0,2,74,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.1307402529959,35.581899291688565]}"
59,0,2,79,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.343371480747,35.70290236045947]}"
60,0,2,78,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.56705198649276,36.60651770475529]}"
61,0,2,78,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.19254891882518,36.30549225304684]}"
62,0,2,80,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.87535379200258,36.59196499715256]}"
