system:index,crop_label,sol_bulk_density,sol_clay_pct,sol_organic_carbon,sol_ph_h2o,sol_sand_pct,sol_texture_class,.geo
0,1,160.0,38.0,4.0,71.0,24.0,4.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.90060560005004,38.91824225690847]}"
1,1,136.0,30.0,4.0,73.0,26.0,4.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.54972365007296,39.228700019100174]}"
2,1,147.0,32.0,4.0,71.0,27.0,4.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.21645325394647,39.353206517479144]}"
3,1,150.0,32.0,5.0,71.0,30.0,4.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.2024395355142,39.477174026687635]}"
4,1,155.0,28.0,2.0,75.0,25.0,4.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.9033005459024,39.14488720309183]}"
5,1,135.0,38.0,19.0,70.0,24.0,4.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.76100740489787,39.460195867817774]}"
6,1,131.0,43.0,5.0,76.0,12.0,2.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.05879892158349,39.46558575952249]}"
7,1,145.0,38.0,7.0,74.0,25.0,4.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.51657581608895,38.710192437106386]}"
8,1,149.0,36.0,3.0,73.0,22.0,4.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.74968863231797,39.5445476729966]}"
9,1,145.0,34.0,4.0,72.0,24.0,4.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.80655198980273,39.402254531992064]}"
10,1,156.0,23.0,2.0,72.0,39.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.43033754881347,38.87458413410026]}"
11,1,145.0,25.0,3.0,73.0,35.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.09356372307892,39.572036120690655]}"
12,1,140.0,36.0,6.0,76.0,25.0,4.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.88766985995872,39.58578034453768]}"
13,1,140.0,42.0,5.0,73.0,20.0,1.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.84643718841764,39.47744352127287]}"
14,1,132.0,35.0,3.0,75.0,27.0,4.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.50390957058286,38.94411373709111]}"
