system:index,crop_label,elevation,landforms,.geo
0,0,35.0,41,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.8316318477401,33.466348141461395]}"
1,0,36.0,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.63382282217698,33.49356709457022]}"
2,0,35.0,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.5971715585849,33.4100237731471]}"
3,0,42.0,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.7639887068459,33.79890445964244]}"
4,0,43.0,41,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.97796740752317,33.7234459757764]}"
5,0,56.0,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.39585910341371,34.615742547492324]}"
6,0,59.0,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.70748924975663,33.294410596080915]}"
7,0,47.0,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.61414971745475,34.177274857313584]}"
8,0,37.0,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.33396975461973,33.34534507269049]}"
9,0,38.0,31,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.58190477303671,33.17637196774761]}"
10,0,36.0,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.59851903151107,33.40732882729474]}"
11,0,43.0,41,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.73676975373708,33.7940535571082]}"
12,0,67.0,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.7252758923822,34.68069074253416]}"
13,0,46.0,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.92945838218071,33.99347955018273]}"
14,0,46.0,41,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.89280711858864,34.37777882872906]}"
15,0,33.0,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.48919863571558,33.20655536129403]}"
16,0,66.0,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.72258094652983,34.679882258778456]}"
17,0,54.0,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.67757535079545,34.06300915317358]}"
18,0,44.0,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.33872625134372,33.95332485698259]}"
19,0,36.0,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.30153599858116,33.354238394003275]}"
20,0,50.0,31,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.54633148778558,33.79243658959678]}"
21,0,37.0,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.31447173867248,33.530218358162294]}"
22,0,43.0,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.2781843754759,33.749047961373805]}"
23,0,48.0,41,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.44948852587565,34.111518178516036]}"
24,0,58.0,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.40430784136629,34.44542196962326]}"
25,0,50.0,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.54848744446747,33.80348586759145]}"
26,0,41.0,41,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.9564078407043,33.691645614718574]}"
27,0,38.0,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.76695314728349,33.588698683158476]}"
28,0,46.0,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.4727594660162,33.8331302719674]}"
