system:index,crop_label,topo_aspect,topo_elevation,topo_slope,topo_tpi,topo_twi,.geo
0,0,90.0,37.0,1.108551,1.6277603,3.9450483,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.30034841335289,33.220866195879694]}"
1,0,-0.0,41.0,0.0,-0.5457413,6.9077554,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.29074101409466,33.463411322591966]}"
2,0,-0.0,35.0,0.0,1.2082019,6.9077554,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.4162310850043,33.75177052879433]}"
3,0,270.0,52.0,1.1243246,2.258675,3.930916,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.97300689810159,34.42927991607728]}"
4,0,180.0,53.0,0.92740995,-0.4258675,4.1234994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.8641310856663,34.51659616169369]}"
5,0,-0.0,43.0,0.0,-1.5899054,6.9077554,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.36341014629808,33.97248659410249]}"
6,0,180.0,36.0,0.92740995,-0.22397476,4.1234994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.34670148201346,33.60812991486362]}"
7,0,-0.0,56.0,0.0,0.4731861,6.9077554,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.06194011122942,34.67128605361907]}"
8,0,180.0,57.0,0.92740995,0.85804415,4.1234994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.15006484060154,34.329297424954774]}"
9,0,329.09647,33.0,2.1608744,-0.67823344,3.2772398,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.8258628545628,33.35049309137814]}"
10,0,-0.0,36.0,1.8543341,-0.10725552,3.430352,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.11044913657187,33.30279254979139]}"
11,0,-0.0,54.0,0.92740995,-3.2334385,4.1234994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.8220899303695,34.586934248440244]}"
12,0,50.14722,36.0,1.4470489,0.33123028,3.678488,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.30924173466568,33.41220735139715]}"
13,0,270.0,38.0,1.1122298,0.22082019,3.9417346,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.28687368409109,33.50922540208206]}"
14,0,180.0,33.0,1.8543341,0.19873817,3.430352,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.58493469536195,33.16696727883252]}"
15,0,270.0,46.0,1.119002,0.7823344,3.9356625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.62293343188021,34.029349951587264]}"
16,0,90.0,54.0,1.1281728,-0.46687698,3.9274983,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.93635563450951,34.713327208915864]}"
17,0,31.318165,59.0,2.1703236,1.7381704,3.2728722,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.35397783581482,34.73785121617233]}"
18,0,180.0,36.0,0.92740995,0.0977918,4.1234994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.26154119307893,33.283388939654415]}"
19,0,309.44852,55.0,1.4594163,1.3911672,3.669974,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.93123523739003,34.631131360418934]}"
20,0,309.72186,40.0,1.4510232,1.6277603,3.675744,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.31490112095562,33.812676305057636]}"
21,0,-0.0,58.0,1.8543341,-1.3217666,3.430352,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.67557928181147,33.67253912073499]}"
22,0,309.83725,41.0,1.4475183,-1.2460568,3.6781635,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.44543090602004,33.45990789298389]}"
23,0,309.59406,46.0,1.4549313,-0.873817,3.6730533,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.68195274604686,34.19832305653014]}"
24,0,-0.0,36.0,0.92740995,-1.104101,4.1234994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.27824985736355,33.227334065925355]}"
25,0,141.0351,51.0,3.573957,-0.9432177,2.7732553,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.71941249339464,34.482639843953976]}"
26,0,270.0,64.0,1.1269821,1.1167192,3.9285545,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.51496050901089,34.62574146871421]}"
27,0,112.633415,37.0,2.4086885,-0.13249211,3.1685553,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.30331285379049,33.499793091598804]}"
28,0,-0.0,46.0,0.92740995,0.5835962,4.1234994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.59328902750427,34.079206449855896]}"
29,0,21.753149,36.0,2.993081,1.4447949,2.9510133,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.65096086874473,33.34537269425866]}"
30,0,309.57855,61.0,1.4554069,1.2334385,3.6727264,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.36754697088688,34.24467612519071]}"
31,0,-0.0,47.0,0.0,-0.56782335,6.9077554,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.3880285593648,33.91858767705533]}"
32,0,90.0,45.0,2.2285223,-3.7507887,3.246384,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.4909754909249,33.69921908467334]}"
33,0,211.1272,55.0,2.1659474,-0.6940063,3.2748926,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.37644029219966,34.10912034881707]}"
34,0,112.63322,37.0,2.4087083,-0.7507886,3.168547,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.7469009410887,33.50060157535451]}"
35,0,129.51137,51.0,1.4574746,1.0031545,3.6713061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.42916682509562,34.444910602020954]}"
36,0,90.0,53.0,1.1261423,-2.1293375,3.9293003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.96950346849351,34.56375771410997]}"
37,0,270.0,56.0,2.2552521,1.8832808,3.2344487,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.25382025591735,34.70524237135879]}"
38,0,247.55276,50.0,2.4275978,-1.3880126,3.160726,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.45692476737491,34.28240536712373]}"
