system:index,crop_label,elevation,landforms,.geo
0,0,2.0,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.36348189286599,38.08359887030732]}"
1,0,1.0,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.52868207361556,38.361717282270725]}"
2,0,48.0,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.95879543165199,38.7395486907714]}"
3,0,27.0,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.33581835639694,38.37141908733922]}"
4,0,6.0,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.34300030438806,38.13534183067261]}"
5,0,0.0,41,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.59928965494736,38.353901939298886]}"
6,0,21.0,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.23978387824272,38.18762378020836]}"
7,0,32.0,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.09560427514154,38.0879107836711]}"
8,0,53.0,41,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.98493640641986,38.75356240920366]}"
9,0,0.0,41,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.60306257914065,38.326952480775304]}"
10,0,75.0,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.03236745342139,38.79129165113668]}"
11,0,4.0,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.38558044885532,38.208913852441995]}"
12,0,31.0,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.01206095371842,37.9534329856384]}"
13,0,43.0,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.05302413067427,38.07470554899454]}"
14,0,63.0,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.4473891146846,38.492422156110116]}"
15,0,17.0,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.25945698296493,38.31671168653634]}"
16,0,-3.0,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.48798839124495,38.283294357967094]}"
17,0,27.0,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.17564416695659,38.250416018568316]}"
18,0,5.0,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.3659073441331,38.19894255278827]}"
19,0,24.0,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.48862178622568,38.2841028417228]}"
20,0,7.0,41,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.35162413111561,38.19786457444732]}"
21,0,10.0,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.32090174839871,38.136958798184025]}"
22,0,2.0,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.40633153191848,38.18331186684459]}"
23,0,17.0,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.23520247029371,38.119711144728925]}"
24,0,2.0,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.39474326475334,38.16579471880426]}"
25,0,369.0,31,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.31398929499284,38.52556999009413]}"
26,0,23.0,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.19316131499693,38.16822017007138]}"
27,0,10.0,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.31335590001211,38.176035513043225]}"
28,0,27.0,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.24463478077698,38.452806452080445]}"
29,0,46.0,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.29691673031272,37.59608316561566]}"
