system:index,crop_label,topo_aspect,topo_elevation,topo_slope,topo_tpi,topo_twi,.geo
0,1,52.20504,17.0,1.5130851,0.7665615,3.6338437,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.08858221484833,39.14597414687523]}"
1,1,256.92783,17.0,12.118139,-0.20504732,1.538455,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.9861742724587,39.286919814953585]}"
2,1,90.0,45.0,1.2038922,0.6719243,3.86252,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.76249376671294,39.61947613313463]}"
3,1,90.0,35.0,1.2023692,-0.35015774,3.8637862,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.73257986775177,39.53162089834774]}"
4,1,90.0,28.0,1.2017446,0.7791798,3.864306,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.85277445276697,39.49550862392614]}"
5,1,-0.0,9.0,0.92740995,1.0536277,4.1234994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.92041759366116,38.937654832487915]}"
6,1,121.88543,19.0,6.988621,-0.9495268,2.098967,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.46551073378302,38.95732793721013]}"
7,1,100.97998,19.0,4.857914,-0.7507886,2.4652176,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5148282428812,39.09773461611802]}"
8,1,180.0,29.0,1.8543341,-0.77287066,3.430352,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.78324484977611,39.50251548314227]}"
9,1,232.07022,6.0,1.5085146,-1.1009464,3.6368704,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.75602589666728,38.80209905611428]}"
10,1,90.0,19.0,1.1992334,0.84542584,3.8663983,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.94143817130956,39.34971205331354]}"
11,1,-0.0,24.0,0.92740995,-0.07570978,4.1234994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.74955802662163,39.39390916529222]}"
12,1,-0.0,22.0,0.0,0.14511041,6.9077554,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.15326091530494,39.31952865976712]}"
13,1,248.83882,16.0,2.5675588,0.22712934,3.1046016,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.10960279249673,39.26832468857231]}"
14,1,139.46083,6.0,3.6563606,2.0157728,2.7503998,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.55417445232563,38.786468370170596]}"
15,1,-0.0,29.0,0.92740995,0.2681388,4.1234994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.03899521116493,39.55318046516661]}"
16,1,-0.0,26.0,0.0,0.6876972,6.9077554,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.8080383516178,39.464786241209254]}"
17,1,270.0,13.0,1.1959654,0.52681386,3.869128,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.00908131220376,39.15837089779608]}"
